태양광발전시설명,소재지도로명주소,소재지지번주소,정제WGS84위도,정제WGS84경도,설치상세위치구분명,가동상태구분명,설비용량(KW),공급전압(V),주파수(Hz),설치연도,세부용도,허가일자,허가기관,설치면적(㎥),데이터기준일자
영서2호태양광발전소,,,,,,정상가동,19.26,380,60,2021,발전사업용,2021-04-01,화성시,,2023-06-12
영서태양광발전소,,,,,,정상가동,53.55,380,60,2018,발전사업용,2018-02-21,화성시,,2023-06-12
영선 태양광발전소,경기도 양평군 지평면 주령골길 67,경기도 양평군 지평면 옥현리 1161번지 1호,,,기타,정상가동,70.2,380,60,2019,,2019-02-15,양평군,,2023-06-20
영성2호태양광발전소,,,,,,정상가동,31.13,380,60,2020,발전사업용,2020-01-06,화성시,,2023-06-12
영성태양광발전소,,,,,,정상가동,997.35,22900,60,2022,발전사업용,2022-06-21,화성시,4500,2023-06-12
영성태양광발전소,,,,,,정상가동,56.03,380,60,2020,발전사업용,2020-01-06,화성시,,2023-06-12
영식발전소1,,경기도 안성시 서운면 산평리 136,,,,정상가동,18.06,220,60,2021,사업용,2021-12-14,안성시,,2023-07-06
영식발전소2,,경기도 안성시 서운면 산평리 190-11,,,,정상가동,18.06,220,60,2021,사업용,2021-12-14,안성시,,2023-07-06
영우태양광발전소,"경기도 남양주시 화도읍 재재기로122번안길 26, 26-2",경기도 남양주시 화도읍 차산리 331-5,,,,정상가동,97.2,380,60,2021,,2018-10-23,남양주시,,2023-06-02
영원공조 태양광발전소,,,,,,정상가동,99,380,60,2014,발전사업용,2014-10-28,화성시,,2023-06-12
영원태양광발전소,,,,,,정상가동,29.76,380,60,2023,발전사업용,2023-02-03,화성시,143.05,2023-06-12
영월 태양광발전소,,"경기도 안성시 삼죽면 용월리 437-5, 437-7(건물위)",,,,정상가동,99.36,380,60,2018,사업용,2018-05-28,안성시,,2023-07-06
영윤태양광발전소,,,,,,정상가동,81.9,380,60,2023,발전사업용,2023-02-06,화성시,370.49,2023-06-12
영인기술안성 태양광발전소,,경기도 안성시 대덕면 소내리 1 (1동) (건물 위),,,,가동중단,249.7,380,60,2023,,2023-04-25,안성시,,2023-07-06
영일파워태양광발전소,경기도 안양시 만안구 양화로 90 (박달동),경기도 안양시 만안구 안양동 908-20,,,,정상가동,15,380,60,2014,,2014-12-16,안양시,,2023-06-21
영주 태양광발전소,,경기도 안성시 아양동 366-98 (건물 위),,,,가동중단,29.75,380,60,2023,,2023-05-08,안성시,,2023-07-06
영주태양광발전소,,,,,,정상가동,99.36,380,60,2018,발전사업용,2018-04-23,화성시,,2023-06-12
영주태양광발전소,,,,,,정상가동,98.47,380,60,2021,발전사업용,2021-08-09,화성시,,2023-06-12
영중태양광발전소,,,,,,정상가동,98.28,380,60,2019,발전사업용,2019-10-14,화성시,,2023-06-12
영진 태양광발전소,,"경기도 안성시 양성면 석화리 209, 211-2, 211-5, 213, 214-2, 243-3 (가,나,마동, 가설1,2동) (건물 위)",,,,가동중단,276.08,380,60,2023,,2023-04-18,안성시,,2023-07-06
